user,polarization
CNN,hardline
buzzfeedben,hardline
jonlovett,hardline
ChrisMurphyCT,hardline
HeerJeet,hardline
deray,hardline
chrislhayes,hardline
ezraklein,hardline
jbouie,hardline
cjane87,hardline
Noahpinion,hardline
yashar,hardline
mudede,hardline
kairyssdal,hardline
julietlapidos,hardline
AsraNomani,hardline
neonflag,hardline
profwolff,hardline
TamikaDMallory,hardline
ParkerMolloy,hardline
meaganmday,hardline
emmaogreen,hardline
AlterNet,hardline
HuffPostUK,hardline
MotherJones,hardline
MSNBC,hardline
Slate,hardline
voxdotcom,hardline
NewYorker,hardline
thenation,hardline
FoxNews,hardline
dcexaminer,hardline
WashTimes,hardline
Telegraph,hardline
MichelleMalkin,hardline
DickMorrisTweet,hardline
JohnBoehner,hardline
SarahPalinUSA,hardline
michaeljohns,hardline
seanhannity,hardline
Heritage,hardline
RedState,hardline
GlennBeck,hardline
KarlRove,hardline
newtgingrich,hardline
FredThompson,hardline
MittRomney,hardline
IngrahamAngle,hardline
JoeNBC,hardline
theMRC,hardline
RNC,hardline
LoyaltoLiberty,hardline
hotairblog,hardline
USconservatives,hardline
realDonaldTrump,hardline
amspectator,hardline
BreitbartNews,hardline
theblaze,hardline
DailyMail,hardline
realDailyWire,hardline
FDRLST,hardline
nypost,hardline
newsmax,hardline
TheRealTomColt,hardline
dravacadell,hardline
SexpertMedia,hardline
TFav93,hardline
JadeChung11,hardline
clarkdumont1,hardline
belloneysanwich,hardline
IBD_ECarson,hardline
Everbridge,hardline
deborahfalsetes,hardline
Resnick_PI,hardline
NewDayConway,hardline
chenteydrach,hardline
ddoniolvalcroze,hardline
JayUlfelder,hardline
AurelBoriciBT,hardline
BruceKamich,hardline
phjackson5,hardline
Crime_Shark,hardline
Hamzoz,hardline
nanli,hardline
ShorterPearson,hardline
thaiparampil,hardline
RooneyReports,hardline
joshdlondon,hardline
kylegriffin1,hardline
DanRather,hardline
hollaa_backk,hardline
KaizokuNigga,hardline
Milbank,hardline
JayInslee,hardline
galeforcerob,hardline
DarienAlexis3,hardline
adazzlinhaze,hardline
waltshaub,hardline
ewarren,hardline
Unkle_K,hardline
NYGovCuomo,hardline
HKrassenstein,hardline
spectatorindex,hardline
JoeBiden,hardline
GorillaPimpin_,hardline
brianschatz,hardline
joncoopertweets,hardline
girlsreallyrule,hardline
Acosta,hardline
Parkour_Lewis,hardline
GirlNamedMarley,hardline
Strandjunker,hardline
Fleektoria_,hardline
MikeBloomberg,hardline
AOC,hardline
helloalegria,hardline
mmpadellan,hardline
BernieSanders,hardline
SenSchumer,hardline
QuickTake,hardline
emtpyvase,hardline
KamalaHarris,hardline
BillKristol,hardline
JoyAnnReid,hardline
SpeakerPelosi,hardline
RepAdamSchiff,hardline
jillboard,hardline
OhNoSheTwitnt,hardline
RBReich,hardline
briantylercohen,hardline
SenKamalaHarris,hardline
itsJeffTiedrich,hardline
w_terrence,hardline
OANN,hardline
TomFitton,hardline
SethDillon,hardline
marcorubio,hardline
parscale,hardline
RockyWinston007,hardline
brithume,hardline
EmeraldRobinson,hardline
Jali_Cat,hardline
KamVTV,hardline
MarshaBlackburn,hardline
BillCassidy,hardline
DeAnna4Congress,hardline
Squill_whispers,hardline
RedNationRising,hardline
cvpayne,hardline
benshapiro,hardline
DailyCaller,hardline
ZubyMusic,hardline
SteveScalise,hardline
ScottPresler,hardline
CHIZMAGA,hardline
jennfranconews,hardline
KTHopkins,hardline
BrandonBeckham_,hardline
EWErickson,hardline
MariaBartiromo,hardline
AnthemRespect,hardline
CalebJHull,hardline
PeterSweden7,hardline
rising_serpent,hardline
RealJohnDennis,hardline
TimRunsHisMouth,hardline
kayleighmcenany,hardline
AndrewPollackFL,hardline
BeholdIsrael,hardline
RepDanCrenshaw,hardline
TheBabylonBee,hardline
X22Report,hardline
1776Stonewall,hardline
KatiePavlich,hardline
AsheSchow,hardline
HeshmatAlavi,hardline
JuliansRum,hardline
JulieReichwein1,hardline
derekmaltz_sr,hardline
senatemajldr,hardline
MZHemingway,hardline
SenTedCruz,hardline
TombStoneWyatt,hardline
BuckSexton,hardline
Cliff_Sims,hardline
reubing,hardline
ACTBrigitte,hardline
robbystarbuck,hardline
cjtruth,hardline
MattWalshBlog,hardline
inthecopa,hardline
ToscaAusten,hardline
GregAbbott_TX,hardline
ColumbiaBugle,hardline
MrJones_tm,hardline
