user,polarization
CNN,left
buzzfeedben,left
jonlovett,left
ChrisMurphyCT,left
HeerJeet,left
deray,left
chrislhayes,left
ezraklein,left
jbouie,left
cjane87,left
Noahpinion,left
yashar,left
mudede,left
kairyssdal,left
julietlapidos,left
AsraNomani,left
neonflag,left
profwolff,left
TamikaDMallory,left
ParkerMolloy,left
meaganmday,left
emmaogreen,left
AlterNet,left
HuffPostUK,left
MotherJones,left
MSNBC,left
Slate,left
voxdotcom,left
NewYorker,left
thenation,left
FoxNews,right
dcexaminer,right
WashTimes,right
Telegraph,right
MichelleMalkin,right
DickMorrisTweet,right
JohnBoehner,right
SarahPalinUSA,right
michaeljohns,right
seanhannity,right
Heritage,right
RedState,right
GlennBeck,right
KarlRove,right
newtgingrich,right
FredThompson,right
MittRomney,right
IngrahamAngle,right
JoeNBC,right
theMRC,right
RNC,right
LoyaltoLiberty,right
hotairblog,right
USconservatives,right
realDonaldTrump,right
amspectator,right
BreitbartNews,right
theblaze,right
DailyMail,right
realDailyWire,right
FDRLST,right
nypost,right
newsmax,right
TheRealTomColt,right
dravacadell,left
SexpertMedia,left
TFav93,right
JadeChung11,left
clarkdumont1,right
belloneysanwich,left
IBD_ECarson,left
Everbridge,left
deborahfalsetes,left
Resnick_PI,left
NewDayConway,left
chenteydrach,left
ddoniolvalcroze,left
JayUlfelder,left
AurelBoriciBT,left
BruceKamich,left
phjackson5,left
Crime_Shark,left
Hamzoz,left
nanli,left
ShorterPearson,left
thaiparampil,left
RooneyReports,left
joshdlondon,right
kylegriffin1,left
DanRather,left
hollaa_backk,left
KaizokuNigga,left
Milbank,left
JayInslee,left
galeforcerob,left
DarienAlexis3,left
adazzlinhaze,left
waltshaub,left
ewarren,left
Unkle_K,left
NYGovCuomo,left
HKrassenstein,left
spectatorindex,right
JoeBiden,left
GorillaPimpin_,left
brianschatz,left
joncoopertweets,left
girlsreallyrule,left
Acosta,left
Parkour_Lewis,left
GirlNamedMarley,left
Strandjunker,left
Fleektoria_,left
MikeBloomberg,left
AOC,left
helloalegria,left
mmpadellan,left
BernieSanders,left
SenSchumer,left
QuickTake,left
emtpyvase,left
KamalaHarris,left
BillKristol,right
JoyAnnReid,left
SpeakerPelosi,left
RepAdamSchiff,left
jillboard,left
OhNoSheTwitnt,left
RBReich,left
briantylercohen,left
SenKamalaHarris,left
itsJeffTiedrich,left
w_terrence,right
OANN,right
TomFitton,right
SethDillon,right
marcorubio,right
parscale,right
RockyWinston007,right
brithume,right
EmeraldRobinson,right
Jali_Cat,right
KamVTV,right
MarshaBlackburn,right
BillCassidy,right
DeAnna4Congress,right
Squill_whispers,right
RedNationRising,right
cvpayne,right
benshapiro,right
DailyCaller,right
ZubyMusic,right
SteveScalise,right
ScottPresler,right
CHIZMAGA,right
jennfranconews,right
KTHopkins,right
BrandonBeckham_,right
EWErickson,right
MariaBartiromo,right
AnthemRespect,right
CalebJHull,right
PeterSweden7,right
rising_serpent,right
RealJohnDennis,right
TimRunsHisMouth,right
kayleighmcenany,right
AndrewPollackFL,right
BeholdIsrael,right
RepDanCrenshaw,right
TheBabylonBee,right
X22Report,right
1776Stonewall,right
KatiePavlich,right
AsheSchow,left
HeshmatAlavi,left
JuliansRum,right
JulieReichwein1,right
derekmaltz_sr,right
senatemajldr,right
MZHemingway,right
SenTedCruz,right
TombStoneWyatt,right
BuckSexton,right
Cliff_Sims,right
reubing,right
ACTBrigitte,right
robbystarbuck,right
cjtruth,right
MattWalshBlog,left
inthecopa,right
ToscaAusten,right
GregAbbott_TX,right
ColumbiaBugle,right
MrJones_tm,right
