user,polarization
Lollylulubes,Conspiracy-Pseudoscience
truthserum4all,Conspiracy-Pseudoscience
EurekaStockade3,Conspiracy-Pseudoscience
virtual_economy,Conspiracy-Pseudoscience
FutureSpecOps,Conspiracy-Pseudoscience
USAWatchdog,Conspiracy-Pseudoscience
144000bound,Conspiracy-Pseudoscience
aspiesmom,Conspiracy-Pseudoscience
f_clochettes,Conspiracy-Pseudoscience
TornadoNewsLink,Conspiracy-Pseudoscience
ABOwarrior,Conspiracy-Pseudoscience
latikambourke,Conspiracy-Pseudoscience
MdKnightBabe,Conspiracy-Pseudoscience
RuudWedding,Conspiracy-Pseudoscience
FortRussNews,Conspiracy-Pseudoscience
CRG_CRM,Conspiracy-Pseudoscience
BerryDivine77,Conspiracy-Pseudoscience
magi5er,Conspiracy-Pseudoscience
_1BUV,Conspiracy-Pseudoscience
lovebaldeagles,Conspiracy-Pseudoscience
unhealthytruth,Conspiracy-Pseudoscience
jaazee1,Conspiracy-Pseudoscience
Stefbazzi,Conspiracy-Pseudoscience
UnicornService,Conspiracy-Pseudoscience
MasuHKger,Conspiracy-Pseudoscience
NeonNettle,Conspiracy-Pseudoscience
OffGuardian0,Conspiracy-Pseudoscience
BlacklistedNews,Conspiracy-Pseudoscience
putuliza,Conspiracy-Pseudoscience
CatNamus,Conspiracy-Pseudoscience
intellihubnews,Conspiracy-Pseudoscience
21WIRE,Conspiracy-Pseudoscience
stormypatriot21,Conspiracy-Pseudoscience
amtvmedia,Conspiracy-Pseudoscience
JunkScience,Conspiracy-Pseudoscience
CIG_KingJames,Conspiracy-Pseudoscience
Investigator_51,Conspiracy-Pseudoscience
true_pundit,Conspiracy-Pseudoscience
ChristinePolon1,Conspiracy-Pseudoscience
zeusFanHouse,Conspiracy-Pseudoscience
disclosetv,Conspiracy-Pseudoscience
PrisonPlanet,Conspiracy-Pseudoscience
afpwebmaster,Conspiracy-Pseudoscience
AltHealthWORKS,Conspiracy-Pseudoscience
angie_rasmussen,Pro-Science
Brief_19,Pro-Science
BuzzFeedScience,Pro-Science
carlzimmer,Pro-Science
CDCgov,Pro-Science
CT_Bergstrom,Pro-Science
DiscoverMag,Pro-Science
DrEricDing,Pro-Science
DrGJackBrown,Pro-Science
DrMattMcCarthy,Pro-Science
DrTedros,Pro-Science
edyong209,Pro-Science
erikbryn,Pro-Science
florian_krammer,Pro-Science
Freedom_Slips,Conspiracy-Pseudoscience
Health_Affairs,Pro-Science
HelenBranswell,Pro-Science
HHSGov,Pro-Science
jeremyfaust,Pro-Science
JohnMTalmadgeMD,Pro-Science
JustinWolfers,Pro-Science
KarenFlemingPhD,Pro-Science
KHNews,Pro-Science
Magda_Skipper,Pro-Science
MaxCRoser,Pro-Science
melindagates,Pro-Science
MindFringe,Conspiracy-Pseudoscience
mlipsitch,Pro-Science
NAChristakis,Pro-Science
NateSilver538,Pro-Science
NatGeo,Pro-Science
NautilusMag,Pro-Science
neiltyson,Pro-Science
NewsfromScience,Pro-Science
novapbs,Pro-Science
NYTHealth,Pro-Science
PandemicCovid20,Pro-Science
PopMech,Pro-Science
propublica,Pro-Science
QuantaMagazine,Pro-Science
sciam,Pro-Science
ScienceNews,Pro-Science
SciInsider,Pro-Science
SmithsonianMag,Pro-Science
statnews,Pro-Science
Surgeon_General,Pro-Science
sxbegle,Pro-Science
T_Inglesby,Pro-Science
ThriveMovement,Conspiracy-Pseudoscience
tmprowell,Pro-Science
trvrb,Pro-Science
WebMD,Pro-Science
WHO,Pro-Science
RealJamesWoods,Conspiracy-Pseudoscience
mitchellvii,Conspiracy-Pseudoscience
RealCandaceO,Conspiracy-Pseudoscience
MichaelCoudrey,Conspiracy-Pseudoscience
RealSaavedra,Conspiracy-Pseudoscience
Lrihendry,Conspiracy-Pseudoscience
thebradfordfile,Conspiracy-Pseudoscience
PDChina,Conspiracy-Pseudoscience
chuckwoolery,Conspiracy-Pseudoscience
RealMattCouch,Conspiracy-Pseudoscience
atensnut,Conspiracy-Pseudoscience
WayneDupreeShow,Conspiracy-Pseudoscience
catturd2,Conspiracy-Pseudoscience
DavidJHarrisJr,Conspiracy-Pseudoscience
C_3C_3,Conspiracy-Pseudoscience
ScottAdamsSays,Conspiracy-Pseudoscience
KarluskaP,Conspiracy-Pseudoscience
gatewaypundit,Conspiracy-Pseudoscience
Jkylebass,Conspiracy-Pseudoscience
CharlieDaniels,Conspiracy-Pseudoscience
prayingmedic,Conspiracy-Pseudoscience
EpochTimesChina,Conspiracy-Pseudoscience
RealEricCarmen,Conspiracy-Pseudoscience
BreitbartNews,Conspiracy-Pseudoscience
Thomas1774Paine,Conspiracy-Pseudoscience
Jamierodr14,Conspiracy-Pseudoscience
Inevitable_ET,Conspiracy-Pseudoscience
bennyjohnson,Conspiracy-Pseudoscience
TrumpWarRoom,Conspiracy-Pseudoscience
no_silenced,Conspiracy-Pseudoscience
into_the_brush,Pro-Science
JuddLegum,Pro-Science
funder,Pro-Science
atrupar,Pro-Science
OriginalDWoods,Pro-Science
SethAbramson,Pro-Science
ScottGottliebMD,Pro-Science
nowthisnews,Pro-Science
AnandWrites,Pro-Science
Public_Citizen,Pro-Science
RVAwonk,Pro-Science
psychdr100,Pro-Science
JoshuaPotash,Pro-Science
azbrodsky,Pro-Science
Laurie_Garrett,Pro-Science
StevenBeschloss,Pro-Science
DrDenaGrayson,Pro-Science
peytnhaag,Pro-Science
BNODesk,Pro-Science
stayfrea_,Pro-Science
TeaPainUSA,Pro-Science
StayWonked,Pro-Science
Amy_Siskind,Pro-Science
ElliottKaybooks,Pro-Science
tribelaw,Pro-Science
B52Malmet,Pro-Science
catcontentonly,Pro-Science
Mikel_Jollett,Pro-Science
TomJChicago,Pro-Science
ASlavitt,Pro-Science
NCStinn,Pro-Science
