domain,polarity
achnews.org,Left
act.tv,Left
afj.org,Left
alternet.org,Left
aidc.org.za,Left
americablog.com,Left
americanbridgepac.org,Left
americannewsx.com,Left
au.org,Left
angrywhitemen.org,Left
antifascistnews.net,Left
autostraddle.com,Left
citypaper.com,Left
ebar.com,Left
themaven.net,Left
bitchmedia.org,Left
blackagendareport.com,Left
blackamericaweb.com,Left
blacklivesmatter.com,Left
blackmainstreet.net,Left
bluestatedaily.com,Left
boingboing.net,Left
bostonreview.net,Left
bust.com,Left
canadafactcheck.ca,Left
canadiandimension.com,Left
capitalandmain.com,Left
care2.com,Left
ceasefiremagazine.co.uk,Left
americanprogress.org,Left
prwatch.org,Left
c4ss.org,Left
change.org,Left
chicagoreader.com,Left
china.org.cn,Left
chroniclesofdemocracy.com,Left
citizencritics.org,Left
cnn.com,Left
codepink.org,Left
columbusfreepress.com,Left
commondreams.org,Left
copblock.org,Left
cosmopolitan.com,Left
countercurrents.org,Left
counterpunch.org,Left
crikey.com.au,Left
crimethinc.com,Left
crooked.com,Left
crooksandliars.com,Left
currentaffairs.org,Left
curvemag.com,Left
thedailybeast.com,Left
dailydot.com,Left
dailyrecord.co.uk,Left
dailysoundandfury.com,Left
dallasvoice.com,Left
deadstate.org,Left
deadspin.com,Left
deathandtaxesmag.com,Left
deepsouthvoice.com,Left
democracychronicles.org,Left
democracynow.org,Left
democraticunderground.com,Left
deshabhimani.com,Left
desmogblog.com,Left
dissentmagazine.org,Left
drudge.com,Left
earthfirstjournal.org,Left
egbertowillies.com,Left
electoral-vote.com,Left
electronicintifada.net,Left
elisabethparker.com,Left
elitedaily.com,Left
esquire.com,Left
everydayfeminism.com,Left
evonomics.com,Left
feministcurrent.com,Left
feministing.com,Left
thefifthcolumnnews.com,Left
fifthestate.org,Left
filmingcops.com,Left
finnishnews.fi,Left
firstpost.com,Left
foodandwaterwatch.org,Left
foreignpolicyjournal.com,Left
foreignpolicynews.org,Left
freepress.org,Left
frnewsreport.com,Left
ffrf.org,Left
freedomnews.org.uk,Left
frontpagelive.com,Left
freespeech.org,Left
geopoliticsalert.com,Left
gizmodo.com,Left
globalvoices.org,Left
good.is,Left
gq.com,Left
bradford-delong.com,Left
greenleft.org.au,Left
