domain,polarity
2ndvote.com,right
aa.com.tr,right
academia.org,right
aclj.org,right
acting-man.com,right
adelaidenow.com.au,right
aei.org,right
afpc.org,right
aim.org,right
aina.org,right
alec.org,right
altnewsmedia.net,right
amac.us,right
americanconsequences.com,right
americanlibertyreport.com,right
americanmind.org,right
americansforprosperity.org,right
americarisingpac.org,right
amgreatness.com,right
amimagazine.org,right
ammoland.com,right
arizonadailyindependent.com,right
armstrongeconomics.com,right
asiannews.it,right
axiomnewsnetwork.com,right
bearingarms.com,right
beliefnet.com,right
bizpacreview.com,right
blabber.buzz,right
bluelivesmatter.blue,right
boundingintocomics.com,right
brexitcentral.com,right
buzzsawpolitics.com,right
ca-political.com,right
calgarysun.com,right
campaignlifecoalition.com,right
campusreform.org,right
capitalresearch.org,right
carepublican.com,right
cc.org,right
chicksontheright.com,right
christianheadlines.com,right
christiannewsalerts.com,right
christianpost.com,right
christiantoday.com,right
chroniclesmagazine.org,right
citizenfreepress.com,right
citizensunited.org,right
city-journal.org,right
claremont.org,right
colddeadhands.us,right
commdiginews.com,right
commentarymagazine.com,right
conservativebase.com,right
conservativedailynews.com,right
conservativehq.com,right
conservativeinstitute.org,right
conservativeopinion.com,right
conservativereview.com,right
conservativesus.party,right
conservativetoday.com,right
conservativewoman.co.uk,right
cowgernation.com,right
crimeresearch.org,right
crisismagazine.com,right
dailycaller.com,right
dailysignal.com,right
dailysurge.com,right
dailytelegraph.com.au,right
dailytorch.com,right
dailywire.com,right
dc-chronicle.com,right
dcstatesman.com,right
dcwhispers.com,right
debatepost.com,right
defenddemocracy.org,right
disrn.com,right
dmlnews.com,right
eagleactionreport.com,right
economicpolicyjournal.com,right
egypttoday.com,right
energycitizens.org,right
erlc.com,right
express.co.uk,right
factsandlogic.org,right
faithwire.com,right
fakehatecrimes.org,right
farleftwatch.com,right
federalistpress.com,right
fedsoc.org,right
ff.org,right
fightpp.org,right
firstinfreedomdaily.com,right
firstthings.com,right
foxnews.com,right
freebeacon.com,right
freedomcrossroads.com,right
freedomworks.org,right
freerepublic.com,right
freewestmedia.com,right
futureinamerica.com,right
g-a-i.org,right
getreligion.org,right
gopusa.com,right
greatamericanpolitics.com,right
heatst.com,right
heritage.org,right
hermancain.com,right
hotair.com,right
hudson.org,right
humanevents.com,right
hurriyet.com.tr,right
hurriyetdailynews.com,right
ibleedredwhiteblue.com,right
ifstudies.org,right
ijr.com,right
illinoispolicy.org,right
imprimis.hillsdale.edu,right
independentsentinel.com,right
influencewatch.org,right
intellectualtakeout.org,right
investors.com,right
ipatriot.com,right
iwf.org,right
jewishpolicycenter.org,right
jewishworldreview.com,right
judicialnetwork.com,right
justthenews.com,right
kansaspolicy.org,right
lawenforcementtoday.com,right
legalinsurrection.com,right
libertyhangout.org,right
libertyheadlines.com,right
libertynation.com,right
libertynews.com,right
libertytalk.fm,right
lifenews.com,right
lifezette.com,right
loneconservative.com,right
louderwithcrowder.com,right
lozierinstitute.org,right
lyincomey.com,right
manhattan-institute.org,right
mediacircus.com,right
mediaequalizer.com,right
mercatornet.com,right
milliyet.com.tr,right
mises.org,right
mrc.org,right
nationalcenter.org,right
nationalreview.com,right
nccivitas.org,right
newbostonpost.com,right
newlypress.com,right
newrevolutionnow.org,right
news.grabien.com,right
newsbusters.org,right
newsmax.com,right
noqreport.com,right
notliberal.com,right
nraila.org,right
ntknetwork.com,right
numbersusa.com,right
oann.com,right
offendedamerica.com,right
offgridsurvival.com,right
oneangrygamer.net,right
onenewsnow.com,right
ontarioproud.ca,right
opslens.com,right
order-order.com,right
panampost.com,right
pantsonfirenews.com,right
patriotnewsalerts.com,right
patriotnewsdaily.com,right
patriotpost.us,right
patriotretort.com,right
pluralist.com,right
politicalite.com,right
politichicks.com,right
politicsnote.com,right
politifeed.net,right
populistwire.com,right
powerlineblog.com,right
projectveritas.com,right
publicinterestlegal.org,right
quadrant.org.au,right
rd.com,right
rebelnews.com,right
redalertpolitics.com,right
redflagnews.com,right
renewedright.com,right
resistancemedia.org,right
restoreamericanglory.com,right
ricochet.com,right
rightandfree.com,right
ronpaulinstitute.org,right
ronpaullibertyreport.com,right
sabah.com.tr,right
savejersey.com,right
sbgi.net,right
secureamericanow.org,right
sentinelksmo.org,right
sharylattkisson.com,right
silenceisconsent.net,right
sonorannews.com,right
southernpatriotnews.com,right
spectator.org,right
spiked-online.com,right
standpointmag.co.uk,right
starpolitical.com,right
teapartypatriots.org,right
telegraaf.nl,right
telegraph.co.uk,right
tennesseestar.com,right
tenthamendmentcenter.com,right
theblacksphere.net,right
theblaze.com,right
thecitizenpress.com,right
thecollegefix.com,right
theconservativenut.gop,right
thedailydefender.com,right
thedailyliberator.com,right
theepochtimes.com,right
thefederalist.com,right
thegreggjarrett.com,right
thehayride.com,right
themilreview.com,right
thenewamerican.com,right
thenewrevere.com,right
theohiostar.com,right
thepostmillennial.com,right
therantidote.com,right
therealstrategy.com,right
theresurgent.com,right
therightscoop.com,right
thesun.co.uk,right
thetruthaboutguns.com,right
torontosun.com,right
townhall.com,right
trendingviews.co,right
tribunist.com,right
trtworld.com,right
twitchy.com,right
unionleader.com,right
unitynewsnetwork.co.uk,right
unwatch.org,right
updateamerica.com,right
usapoliticstoday.com,right
ussanews.com,right
vesselnews.io,right
vivaliberty.com,right
washingtonexaminer.com,right
weaselzippers.us,right
weeklystandard.com,right
westernfreepress.com,right
westmonster.com,right
whatfinger.com,right
world.wng.org,right
worldtribune.com,right
yaf.org,right
yellowhammernews.com,right
youngcons.com,right
1buv.com,right
heraldtribune.com,right
freedomslips.com,right
davidharrisjr.com,right
thedcpatriot.com,right
waynedupree.com,right
vigilantcitizen.com,right
bluntforcetruth.com,right
off-guardian.org,right
conservativechoicecampaign.com,right
sputniknews.com,right
fort-russ.com,right
odmp.org,right
